geoid,name,B07003001,"B07003001, Error",B07003002,"B07003002, Error",B07003003,"B07003003, Error",B07003004,"B07003004, Error",B07003005,"B07003005, Error",B07003006,"B07003006, Error",B07003007,"B07003007, Error",B07003008,"B07003008, Error",B07003009,"B07003009, Error",B07003010,"B07003010, Error",B07003011,"B07003011, Error",B07003012,"B07003012, Error",B07003013,"B07003013, Error",B07003014,"B07003014, Error",B07003015,"B07003015, Error",B07003016,"B07003016, Error",B07003017,"B07003017, Error",B07003018,"B07003018, Error"
14000US08013013202,"Census Tract 132.02, Boulder, CO",1510,246,762,184,748,115,1417,239,712,178,705,113,19,22,15,16,4,7,15,22,15,22,0,12,54,62,15,23,39,42,5,8,5,8,0,12
14000US08013013205,"Census Tract 132.05, Boulder, CO",5072,555,2613,255,2459,408,4429,495,2305,275,2124,310,64,99,47,73,17,26,315,421,92,123,223,300,248,159,169,109,79,62,16,25,0,17,16,25
14000US08013013207,"Census Tract 132.07, Boulder, CO",4178,422,2030,234,2148,268,3680,427,1796,239,1884,269,149,75,38,27,111,57,123,82,87,57,36,33,190,202,109,106,81,100,36,39,0,12,36,39
14000US08013013208,"Census Tract 132.08, Boulder, CO",6355,630,2945,391,3410,440,5544,708,2597,378,2947,485,297,203,134,117,163,106,432,340,179,167,253,179,82,71,35,45,47,53,0,17,0,17,0,17
14000US08013013210,"Census Tract 132.10, Boulder, CO",5813,847,3116,489,2697,462,4975,790,2734,448,2241,441,677,305,332,154,345,173,136,84,33,26,103,77,25,27,17,19,8,12,0,17,0,17,0,17
14000US08013013211,"Census Tract 132.11, Boulder, CO",6472,1172,3085,632,3387,620,5040,649,2441,425,2599,329,364,241,165,115,199,148,259,283,69,72,190,215,809,963,410,471,399,499,0,17,0,17,0,17
14000US08013013212,"Census Tract 132.12, Boulder, CO",4899,574,2450,305,2449,381,4025,582,2052,296,1973,374,492,193,188,92,304,132,123,82,67,53,56,53,228,120,130,66,98,60,31,30,13,21,18,20
14000US08013013302,"Census Tract 133.02, Boulder, CO",4995,524,2546,345,2449,354,4092,500,2015,320,2077,327,409,175,222,109,187,125,151,157,97,99,54,65,326,177,212,133,114,76,17,26,0,12,17,26
14000US08013013305,"Census Tract 133.05, Boulder, CO",5594,867,2777,466,2817,500,4323,857,2112,419,2211,506,267,186,136,114,131,107,264,173,142,101,122,90,634,304,329,163,305,194,106,124,58,76,48,54
14000US08013013306,"Census Tract 133.06, Boulder, CO",4792,709,2390,315,2402,458,4165,758,2086,333,2079,477,291,197,141,106,150,102,264,184,131,80,133,113,72,81,32,37,40,54,0,12,0,12,0,12
14000US08013013307,"Census Tract 133.07, Boulder, CO",3983,413,1724,254,2259,251,3265,385,1371,243,1894,219,453,240,188,100,265,170,108,89,51,56,57,52,157,94,114,64,43,41,0,12,0,12,0,12
14000US08013013308,"Census Tract 133.08, Boulder, CO",3501,491,1690,306,1811,269,2931,518,1411,318,1520,266,227,135,91,80,136,88,241,104,154,82,87,58,89,74,34,30,55,64,13,21,0,12,13,21
14000US08013013401,"Census Tract 134.01, Boulder, CO",3031,403,1512,272,1519,241,1904,403,958,253,946,201,747,302,382,173,365,175,127,71,77,50,50,43,253,185,95,79,158,129,0,12,0,12,0,12
14000US08013013402,"Census Tract 134.02, Boulder, CO",7742,979,3491,525,4251,592,6805,977,3068,521,3737,589,518,323,166,116,352,217,89,102,80,89,9,37,330,369,177,209,153,164,0,17,0,17,0,17
14000US08013013503,"Census Tract 135.03, Boulder, CO",4950,614,2613,377,2337,362,4049,572,2044,341,2005,339,427,212,305,176,122,74,240,142,120,83,120,106,234,185,144,110,90,88,0,12,0,12,0,12
14000US08013013505,"Census Tract 135.05, Boulder, CO",4671,1177,2498,688,2173,550,3829,946,1952,480,1877,535,279,200,178,142,101,69,519,400,340,336,179,135,44,51,28,33,16,24,0,12,0,12,0,12
14000US08013013506,"Census Tract 135.06, Boulder, CO",4368,390,1890,198,2478,252,3885,425,1705,197,2180,280,245,162,107,74,138,94,118,86,40,44,78,60,102,62,38,31,64,44,18,26,0,12,18,26
14000US08013013507,"Census Tract 135.07, Boulder, CO",3385,345,1818,195,1567,226,2734,364,1456,222,1278,215,108,70,29,32,79,67,247,226,129,111,118,124,284,165,192,100,92,91,12,18,12,18,0,12
14000US08013013508,"Census Tract 135.08, Boulder, CO",7162,607,3329,385,3833,400,5919,613,2608,363,3311,430,504,268,253,169,251,145,445,327,296,211,149,141,294,189,172,123,122,88,0,17,0,17,0,17
14000US08013013601,"Census Tract 136.01, Boulder, CO",4110,387,2105,212,2005,232,3655,375,1844,196,1811,224,198,124,118,84,80,59,106,89,49,41,57,69,130,92,85,73,45,29,21,25,9,15,12,18
14000US08013013602,"Census Tract 136.02, Boulder, CO",1048,310,617,197,431,151,796,223,515,176,281,66,84,62,52,38,32,32,147,164,46,52,101,115,21,15,4,7,17,15,0,12,0,12,0,12
14000US08013060700,"Census Tract 607, Boulder, CO",2885,339,1459,189,1426,199,2511,310,1243,185,1268,178,111,45,63,37,48,31,95,61,51,45,44,42,156,92,90,68,66,45,12,16,12,16,0,12
14000US08013060900,"Census Tract 609, Boulder, CO",4796,549,2254,247,2542,410,4106,534,1873,234,2233,393,301,135,168,73,133,91,98,80,68,68,30,30,246,149,115,79,131,89,45,56,30,35,15,22
14000US08013061300,"Census Tract 613, Boulder, CO",3345,415,1727,268,1618,195,3132,414,1627,272,1505,190,112,75,49,37,63,48,15,13,0,12,15,13,60,63,37,42,23,22,26,29,14,16,12,14
14000US08013061400,"Census Tract 614, Boulder, CO",3981,459,1868,320,2113,241,3443,471,1693,330,1750,214,98,71,54,50,44,41,9,14,0,12,9,14,409,244,106,67,303,185,22,27,15,19,7,11
14000US08014030000,"Census Tract 300, Broomfield, CO",3625,435,1832,221,1793,298,2705,452,1357,244,1348,278,46,43,19,24,27,32,560,207,249,105,311,169,241,139,164,87,77,66,73,117,43,68,30,50
14000US08014030100,"Census Tract 301, Broomfield, CO",2536,441,1457,325,1079,159,2205,408,1251,301,954,147,45,36,28,22,17,18,232,125,157,88,75,42,37,37,21,32,16,18,17,23,0,12,17,23
14000US08014030200,"Census Tract 302, Broomfield, CO",1984,255,1080,197,904,133,1431,219,829,176,602,99,135,87,26,29,109,81,317,133,161,87,156,66,96,49,59,31,37,27,5,9,5,9,0,12
14000US08014030300,"Census Tract 303, Broomfield, CO",4104,465,2048,301,2056,269,3098,469,1494,280,1604,253,413,238,264,154,149,106,498,181,206,98,292,146,95,59,84,55,11,18,0,12,0,12,0,12
14000US08014030400,"Census Tract 304, Broomfield, CO",4072,477,2079,255,1993,327,3488,380,1787,205,1701,280,261,347,110,143,151,208,236,211,124,126,112,95,87,62,58,47,29,31,0,12,0,12,0,12
14000US08014030500,"Census Tract 305, Broomfield, CO",5525,530,2713,335,2812,278,5068,534,2459,334,2609,280,177,156,95,91,82,68,207,118,131,85,76,51,55,57,28,29,27,29,18,27,0,17,18,27
14000US08014030600,"Census Tract 306, Broomfield, CO",6056,673,2908,366,3148,413,5421,646,2691,370,2730,361,188,164,46,48,142,133,413,226,160,89,253,175,20,39,11,21,9,18,14,23,0,17,14,23
14000US08014030700,"Census Tract 307, Broomfield, CO",3067,378,1375,207,1692,221,2584,432,1139,208,1445,272,152,179,42,39,110,146,169,90,95,65,74,44,138,93,75,66,63,53,24,40,24,40,0,12
14000US08014030800,"Census Tract 308, Broomfield, CO",5911,531,2960,309,2951,308,5360,503,2725,274,2635,307,90,92,15,23,75,92,320,208,146,92,174,133,130,89,74,51,56,54,11,17,0,17,11,17
14000US08014030900,"Census Tract 309, Broomfield, CO",5574,576,2891,340,2683,341,4964,552,2587,313,2377,322,255,205,94,88,161,126,207,135,108,92,99,59,119,129,83,121,36,41,29,34,19,28,10,18
14000US08014031000,"Census Tract 310, Broomfield, CO",5727,546,2856,363,2871,334,4983,614,2510,396,2473,345,159,118,71,61,88,69,455,264,227,168,228,108,102,99,48,60,54,59,28,36,0,17,28,36
14000US08014031300,"Census Tract 313, Broomfield, CO",2620,346,1326,175,1294,210,2326,356,1172,178,1154,216,55,41,20,14,35,28,183,100,106,59,77,49,56,39,28,28,28,18,0,12,0,12,0,12
14000US08014980100,"Census Tract 9801, Broomfield, CO",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US08014980200,"Census Tract 9802, Broomfield, CO",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US08014980300,"Census Tract 9803, Broomfield, CO",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US08015000100,"Census Tract 1, Chaffee, CO",2558,351,1232,254,1326,185,2166,316,1018,235,1148,159,283,170,119,80,164,108,107,108,93,108,14,18,2,5,2,5,0,12,0,12,0,12,0,12
14000US08015000200,"Census Tract 2, Chaffee, CO",4450,406,2235,249,2215,280,3848,405,1824,270,2024,270,248,117,165,84,83,89,300,177,200,122,100,81,40,61,32,48,8,14,14,22,14,22,0,12
14000US08015000300,"Census Tract 3, Chaffee, CO",3242,459,1642,284,1600,265,2879,426,1383,262,1496,247,126,102,105,92,21,27,120,105,89,87,31,34,10,17,0,12,10,17,107,135,65,84,42,52
14000US08015000402,"Census Tract 4.02, Chaffee, CO",5094,503,3181,338,1913,289,4487,558,2842,349,1645,316,264,230,184,168,80,87,279,238,124,114,155,141,64,101,31,49,33,52,0,17,0,17,0,17
14000US08017960600,"Census Tract 9606, Cheyenne, CO",1940,207,949,135,991,124,1780,194,872,127,908,119,58,40,26,25,32,21,57,35,22,15,35,27,30,22,14,13,16,13,15,20,15,20,0,12
14000US08019014800,"Census Tract 148, Clear Creek, CO",1725,296,835,228,890,175,1457,298,735,226,722,168,70,66,26,57,44,36,72,52,20,22,52,46,126,124,54,56,72,80,0,12,0,12,0,12
14000US08019014900,"Census Tract 149, Clear Creek, CO",2658,288,1359,186,1299,168,2260,273,1101,165,1159,160,195,121,103,80,92,71,153,62,124,60,29,23,47,69,28,56,19,25,3,4,3,4,0,12
14000US08021974800,"Census Tract 9748, Conejos, CO",3791,294,1998,155,1793,178,3358,279,1764,153,1594,163,172,63,118,48,54,33,120,70,68,45,52,35,129,63,47,29,82,40,12,13,1,2,11,13
14000US08021974900,"Census Tract 9749, Conejos, CO",4257,296,2051,152,2206,178,3907,299,1834,153,2073,179,133,66,79,39,54,36,168,127,105,80,63,52,40,42,27,31,13,14,9,13,6,9,3,5
14000US08023972600,"Census Tract 9726, Costilla, CO",2143,214,1063,105,1080,140,1922,223,938,107,984,140,72,60,52,39,20,23,49,42,21,24,28,21,100,60,52,35,48,30,0,12,0,12,0,12
14000US08023972700,"Census Tract 9727, Costilla, CO",1647,221,918,120,729,132,1377,182,706,100,671,140,67,41,30,26,37,34,71,44,71,44,0,12,113,93,105,83,8,12,19,28,6,11,13,19
14000US08029964600,"Census Tract 9646, Delta, CO",3908,457,2040,275,1868,233,3517,428,1904,264,1613,198,127,62,49,29,78,44,134,104,13,15,121,103,130,64,74,44,56,42,0,12,0,12,0,12
14000US08029964700,"Census Tract 9647, Delta, CO",4011,243,1792,191,2219,142,3270,426,1500,243,1770,224,356,227,104,71,252,168,200,151,97,86,103,83,129,135,35,50,94,87,56,86,56,86,0,12
14000US08029964800,"Census Tract 9648, Delta, CO",4018,456,2571,325,1447,211,3703,506,2385,340,1318,228,85,74,33,33,52,44,228,232,153,170,75,66,2,4,0,12,2,4,0,12,0,12,0,12
14000US08029964900,"Census Tract 9649, Delta, CO",5764,520,2795,293,2969,383,5176,501,2515,301,2661,348,306,161,189,108,117,96,77,65,49,52,28,36,205,114,42,62,163,104,0,17,0,17,0,17
14000US08029965100,"Census Tract 9651, Delta, CO",3625,463,1957,319,1668,245,3265,450,1804,319,1461,229,197,136,59,42,138,102,120,73,73,50,47,41,43,69,21,34,22,36,0,12,0,12,0,12
14000US08031000102,"Census Tract 1.02, Denver, CO",3612,508,1737,237,1875,337,3089,558,1466,268,1623,352,207,104,104,71,103,51,175,76,109,61,66,42,131,75,58,41,73,49,10,15,0,12,10,15
14000US08031000201,"Census Tract 2.01, Denver, CO",3381,505,1736,344,1645,281,2661,443,1341,336,1320,235,299,113,145,72,154,64,374,237,217,124,157,129,47,42,33,34,14,16,0,12,0,12,0,12
14000US08031000202,"Census Tract 2.02, Denver, CO",4370,781,2131,396,2239,574,3558,675,1777,306,1781,520,480,260,149,126,331,190,269,207,196,201,73,57,63,48,9,13,54,40,0,12,0,12,0,12
14000US08031000301,"Census Tract 3.01, Denver, CO",5308,547,2591,423,2717,370,4367,565,2149,404,2218,360,304,200,104,68,200,184,311,207,164,123,147,110,302,182,150,93,152,95,24,37,24,37,0,17
14000US08031000302,"Census Tract 3.02, Denver, CO",4747,813,2416,551,2331,494,3843,656,1905,508,1938,407,433,171,244,116,189,83,220,127,146,105,74,71,251,360,121,178,130,185,0,12,0,12,0,12
14000US08031000303,"Census Tract 3.03, Denver, CO",4997,896,2325,486,2672,469,4047,732,1793,378,2254,426,354,176,187,118,167,100,433,329,283,234,150,123,163,111,62,53,101,86,0,17,0,17,0,17
14000US08031000401,"Census Tract 4.01, Denver, CO",3728,731,1822,339,1906,585,2689,505,1450,316,1239,258,586,499,167,127,419,477,217,93,85,48,132,76,206,156,111,89,95,86,30,29,9,12,21,24
14000US08031000501,"Census Tract 5.01, Denver, CO",2141,204,1028,113,1113,135,1732,229,793,118,939,147,149,88,96,58,53,37,185,129,115,81,70,57,75,58,24,27,51,36,0,12,0,12,0,12
14000US08031000600,"Census Tract 6, Denver, CO",3394,560,1752,473,1642,247,2214,528,1149,427,1065,206,512,166,310,133,202,83,308,178,139,102,169,120,311,133,133,106,178,73,49,81,21,36,28,45
14000US08031000800,"Census Tract 8, Denver, CO",1366,351,640,216,726,190,1105,359,521,211,584,197,227,139,102,67,125,79,32,30,15,16,17,25,2,4,2,4,0,12,0,12,0,12,0,12
14000US08031000902,"Census Tract 9.02, Denver, CO",5989,670,3064,452,2925,425,5479,671,2863,465,2616,411,260,129,101,67,159,79,133,92,54,59,79,54,49,50,8,13,41,48,68,95,38,53,30,42
14000US08031000903,"Census Tract 9.03, Denver, CO",6464,954,3218,503,3246,616,6071,937,2964,501,3107,606,162,150,74,55,88,107,165,183,114,144,51,48,66,62,66,62,0,17,0,17,0,17,0,17
14000US08031000904,"Census Tract 9.04, Denver, CO",5392,863,3029,488,2363,469,4692,851,2624,469,2068,463,266,122,149,75,117,79,298,176,212,144,86,61,136,101,44,39,92,75,0,17,0,17,0,17
14000US08031000905,"Census Tract 9.05, Denver, CO",4161,507,2311,358,1850,309,3470,507,2017,360,1453,283,307,228,119,118,188,135,299,214,175,139,124,101,26,22,0,12,26,22,59,57,0,12,59,57
14000US08031001000,"Census Tract 10, Denver, CO",4877,827,2319,374,2558,609,4479,849,2181,384,2298,612,198,140,114,92,84,62,134,145,11,12,123,136,66,90,13,23,53,71,0,12,0,12,0,12
14000US08031001101,"Census Tract 11.01, Denver, CO",2481,344,1166,234,1315,200,2002,288,975,206,1027,166,258,165,99,83,159,97,133,64,69,42,64,39,77,55,23,23,54,39,11,17,0,12,11,17
14000US08031001102,"Census Tract 11.02, Denver, CO",4723,641,2415,366,2308,470,3279,584,1846,368,1433,370,607,262,273,137,334,176,191,91,88,65,103,65,576,236,202,113,374,162,70,64,6,11,64,63
14000US08031001301,"Census Tract 13.01, Denver, CO",5563,1077,2761,549,2802,607,5298,1065,2644,543,2654,602,63,42,47,39,16,18,69,45,30,23,39,29,40,43,20,29,20,31,93,118,20,33,73,87
14000US08031001302,"Census Tract 13.02, Denver, CO",3981,661,1766,392,2215,393,3594,654,1684,394,1910,372,257,159,49,40,208,142,103,77,33,34,70,66,27,30,0,12,27,30,0,12,0,12,0,12
14000US08031001401,"Census Tract 14.01, Denver, CO",5446,560,2862,360,2584,314,4835,574,2580,357,2255,311,441,231,191,100,250,162,94,94,34,37,60,66,76,85,57,66,19,31,0,17,0,17,0,17
14000US08031001402,"Census Tract 14.02, Denver, CO",4723,1073,2530,470,2193,687,4403,1051,2339,443,2064,678,261,178,153,158,108,69,54,74,33,44,21,32,5,10,5,10,0,12,0,12,0,12,0,12
14000US08031001403,"Census Tract 14.03, Denver, CO",3380,583,1705,304,1675,368,2395,606,1134,296,1261,382,390,195,220,116,170,104,336,166,228,139,108,75,259,135,123,66,136,79,0,12,0,12,0,12
14000US08031001500,"Census Tract 15, Denver, CO",4439,668,2714,533,1725,285,3566,577,2297,463,1269,254,169,91,78,73,91,53,461,226,220,155,241,119,187,176,81,90,106,102,56,54,38,46,18,20
14000US08031001800,"Census Tract 18, Denver, CO",3281,395,1756,311,1525,225,2566,441,1492,301,1074,235,348,137,144,96,204,99,169,98,49,44,120,76,198,92,71,67,127,58,0,12,0,12,0,12
14000US08031001901,"Census Tract 19.01, Denver, CO",3471,624,1812,428,1659,320,2765,499,1503,431,1262,250,333,156,178,100,155,91,194,182,42,34,152,177,163,85,73,53,90,69,16,20,16,20,0,12
14000US08031002000,"Census Tract 20, Denver, CO",2485,360,1205,200,1280,244,1820,370,888,211,932,212,395,146,178,85,217,108,119,87,87,75,32,42,151,82,52,35,99,60,0,12,0,12,0,12
14000US08031002300,"Census Tract 23, Denver, CO",5291,683,2394,486,2897,375,4492,692,1960,465,2532,390,633,304,364,224,269,136,67,55,44,47,23,26,99,91,26,40,73,72,0,17,0,17,0,17
14000US08031002402,"Census Tract 24.02, Denver, CO",1994,308,910,142,1084,211,1637,304,774,136,863,199,182,77,76,43,106,51,71,42,22,16,49,33,98,57,35,31,63,39,6,11,3,6,3,5
14000US08031002602,"Census Tract 26.02, Denver, CO",3036,485,1285,218,1751,437,1984,453,932,187,1052,436,319,149,108,73,211,115,252,98,93,65,159,89,474,248,152,112,322,158,7,11,0,12,7,11
14000US08031002801,"Census Tract 28.01, Denver, CO",2939,353,1240,187,1699,318,2223,304,907,162,1316,266,387,122,147,78,240,98,107,62,69,51,38,31,206,101,117,71,89,65,16,23,0,12,16,23
14000US08031002802,"Census Tract 28.02, Denver, CO",4462,859,2392,699,2070,377,2917,408,1702,342,1215,243,541,363,320,366,221,109,366,165,122,66,244,141,624,391,248,253,376,269,14,21,0,12,14,21
14000US08031002901,"Census Tract 29.01, Denver, CO",3405,376,1889,278,1516,266,2518,326,1347,215,1171,253,464,158,314,117,150,68,207,142,141,104,66,66,205,86,76,45,129,71,11,18,11,18,0,12
14000US08031002902,"Census Tract 29.02, Denver, CO",4178,479,2310,375,1868,219,3484,502,1963,378,1521,228,340,103,135,55,205,78,113,78,79,49,34,37,171,86,96,66,75,49,70,90,37,46,33,44
14000US08031003002,"Census Tract 30.02, Denver, CO",2986,402,1323,209,1663,371,2489,414,1117,191,1372,378,254,110,125,77,129,72,143,59,56,28,87,47,94,77,19,20,75,70,6,9,6,9,0,12
14000US08031003003,"Census Tract 30.03, Denver, CO",3213,458,1687,370,1526,249,1867,433,1082,299,785,172,238,90,103,57,135,69,398,148,142,103,256,105,618,228,298,116,320,178,92,51,62,45,30,37
14000US08031003004,"Census Tract 30.04, Denver, CO",6705,887,3385,449,3320,650,5332,864,2678,487,2654,551,519,178,289,129,230,117,256,107,123,69,133,61,555,248,270,139,285,131,43,48,25,39,18,30
14000US08031003101,"Census Tract 31.01, Denver, CO",1746,295,816,154,930,228,1545,294,716,148,829,226,53,29,18,23,35,26,81,57,54,42,27,19,59,75,24,32,35,44,8,12,4,6,4,6
14000US08031003102,"Census Tract 31.02, Denver, CO",3396,420,1686,330,1710,272,2304,368,1277,282,1027,173,499,184,214,142,285,125,221,124,64,65,157,113,352,133,121,72,231,89,20,35,10,17,10,18
14000US08031003202,"Census Tract 32.02, Denver, CO",3386,378,1739,341,1647,219,2591,378,1380,343,1211,157,290,117,174,94,116,61,215,138,53,56,162,117,279,123,121,76,158,75,11,17,11,17,0,12
14000US08031003203,"Census Tract 32.03, Denver, CO",3138,508,1738,328,1400,229,2938,508,1586,322,1352,226,88,58,69,51,19,18,16,16,16,16,0,12,89,59,67,52,22,19,7,12,0,12,7,12
14000US08031003300,"Census Tract 33, Denver, CO",3130,457,1653,285,1477,234,2723,454,1492,302,1231,196,210,144,63,45,147,108,41,43,25,37,16,21,156,94,73,50,83,55,0,12,0,12,0,12
14000US08031003401,"Census Tract 34.01, Denver, CO",2539,247,1269,141,1270,184,2262,242,1112,142,1150,177,163,94,84,52,79,58,67,56,44,32,23,28,47,39,29,25,18,19,0,12,0,12,0,12
14000US08031003402,"Census Tract 34.02, Denver, CO",4974,670,2569,414,2405,365,4380,683,2178,405,2202,363,237,132,163,94,74,59,119,105,57,65,62,56,166,156,124,118,42,43,72,78,47,62,25,38
14000US08031003601,"Census Tract 36.01, Denver, CO",4867,736,2738,547,2129,349,4330,753,2490,557,1840,337,297,130,105,51,192,99,100,60,50,33,50,45,130,90,83,84,47,33,10,15,10,15,0,12
14000US08031003602,"Census Tract 36.02, Denver, CO",4673,575,2408,390,2265,419,3720,621,1981,382,1739,425,551,200,310,131,241,132,149,99,69,48,80,61,247,159,42,39,205,148,6,9,6,9,0,12
14000US08031003603,"Census Tract 36.03, Denver, CO",3456,472,1545,293,1911,446,2870,341,1323,278,1547,361,120,85,58,56,62,57,83,65,21,23,62,56,383,268,143,121,240,211,0,12,0,12,0,12
14000US08031003701,"Census Tract 37.01, Denver, CO",3351,362,1600,285,1751,276,2644,361,1349,273,1295,221,349,130,125,61,224,104,151,73,43,40,108,68,190,94,83,48,107,70,17,35,0,12,17,35
14000US08031003702,"Census Tract 37.02, Denver, CO",5131,791,2746,555,2385,393,3722,743,2009,469,1713,372,733,327,434,246,299,168,317,176,120,87,197,158,313,153,183,113,130,93,46,73,0,17,46,73
14000US08031003703,"Census Tract 37.03, Denver, CO",3013,369,1393,194,1620,261,2201,231,1040,165,1161,170,508,328,196,133,312,210,76,45,37,41,39,32,125,72,53,43,72,41,103,117,67,74,36,43
14000US08031003901,"Census Tract 39.01, Denver, CO",4193,664,1852,367,2341,406,3273,544,1419,297,1854,363,444,485,200,241,244,255,294,195,155,103,139,100,182,100,78,73,104,69,0,12,0,12,0,12
14000US08031003902,"Census Tract 39.02, Denver, CO",4131,363,2251,241,1880,186,3615,349,1932,215,1683,180,296,133,160,76,136,65,74,73,67,70,7,12,124,62,84,44,40,28,22,26,8,11,14,23
14000US08031004002,"Census Tract 40.02, Denver, CO",3485,352,1752,208,1733,220,3141,404,1589,218,1552,241,230,144,112,74,118,84,42,28,18,22,24,15,72,56,33,28,39,36,0,12,0,12,0,12
14000US08031004003,"Census Tract 40.03, Denver, CO",4827,1447,2430,954,2397,561,3259,478,1468,265,1791,298,334,136,150,64,184,89,270,163,166,120,104,85,964,1326,646,923,318,408,0,12,0,12,0,12
14000US08031004004,"Census Tract 40.04, Denver, CO",1905,180,912,139,993,123,1736,180,819,123,917,122,38,33,11,10,27,25,107,87,71,72,36,32,24,29,11,12,13,19,0,12,0,12,0,12
14000US08031004005,"Census Tract 40.05, Denver, CO",3220,453,1459,217,1761,378,2038,250,1012,164,1026,159,633,284,201,93,432,265,181,87,104,53,77,64,327,287,124,130,203,166,41,44,18,21,23,38
14000US08031004006,"Census Tract 40.06, Denver, CO",4872,603,2224,493,2648,412,4094,496,2041,457,2053,300,344,223,85,76,259,187,254,200,34,39,220,194,158,106,64,57,94,68,22,35,0,12,22,35
14000US08031004101,"Census Tract 41.01, Denver, CO",4564,557,2164,402,2400,284,3593,524,1605,309,1988,316,355,143,195,102,160,82,461,215,276,151,185,135,150,88,83,53,67,54,5,9,5,9,0,12
14000US08031004102,"Census Tract 41.02, Denver, CO",5225,888,2643,501,2582,605,4296,824,2107,403,2189,593,413,186,230,169,183,93,357,183,181,130,176,109,145,125,125,125,20,22,14,23,0,17,14,23
14000US08031004103,"Census Tract 41.03, Denver, CO",6353,1215,2882,690,3471,693,5229,1109,2373,688,2856,619,223,181,126,134,97,88,497,361,275,226,222,148,285,404,108,171,177,237,119,167,0,17,119,167
14000US08031004104,"Census Tract 41.04, Denver, CO",5100,605,2569,384,2531,325,4465,623,2171,381,2294,341,293,200,150,111,143,100,112,96,66,66,46,52,230,143,182,127,48,46,0,17,0,17,0,17
14000US08031004201,"Census Tract 42.01, Denver, CO",4806,485,2320,254,2486,315,4213,447,1985,227,2228,295,264,134,133,81,131,68,78,69,60,63,18,19,242,184,133,112,109,89,9,15,9,15,0,12
14000US08031004202,"Census Tract 42.02, Denver, CO",4603,562,2152,390,2451,300,3885,520,1910,365,1975,275,221,96,71,44,150,69,130,84,49,41,81,62,342,128,103,50,239,100,25,24,19,22,6,12
14000US08031004302,"Census Tract 43.02, Denver, CO",2988,684,1384,324,1604,398,2594,690,1164,330,1430,389,251,193,158,141,93,62,32,35,10,14,22,28,111,66,52,38,59,42,0,12,0,12,0,12
14000US08031004303,"Census Tract 43.03, Denver, CO",3961,413,1779,253,2182,230,3617,420,1598,248,2019,239,265,142,133,85,132,78,17,26,8,13,9,13,62,53,40,39,22,27,0,12,0,12,0,12
14000US08031004306,"Census Tract 43.06, Denver, CO",4724,451,2094,301,2630,333,3489,445,1600,275,1889,329,558,251,159,95,399,212,320,173,131,90,189,98,256,238,137,155,119,103,101,99,67,76,34,34
14000US08031004403,"Census Tract 44.03, Denver, CO",4390,581,2122,352,2268,351,3466,447,1549,249,1917,307,196,107,132,83,64,42,325,193,282,186,43,36,403,197,159,81,244,187,0,12,0,12,0,12
14000US08031004404,"Census Tract 44.04, Denver, CO",5959,591,3150,401,2809,404,4881,731,2644,451,2237,433,431,196,189,126,242,123,224,206,100,95,124,119,367,292,198,156,169,161,56,67,19,27,37,60
14000US08031004503,"Census Tract 45.03, Denver, CO",5000,1071,2351,575,2649,607,4643,1084,2223,579,2420,599,222,124,82,69,140,85,113,122,46,60,67,70,14,22,0,17,14,22,8,12,0,17,8,12
14000US08031004504,"Census Tract 45.04, Denver, CO",4432,602,2032,332,2400,426,4294,610,1983,336,2311,425,55,41,31,34,24,28,13,21,0,12,13,21,70,59,18,21,52,47,0,12,0,12,0,12
14000US08031004505,"Census Tract 45.05, Denver, CO",5062,793,2573,479,2489,399,4599,777,2431,479,2168,389,236,230,71,94,165,143,173,171,38,44,135,133,3,9,0,17,3,9,51,76,33,49,18,27
14000US08031004506,"Census Tract 45.06, Denver, CO",3633,415,1915,318,1718,240,3471,432,1822,316,1649,248,117,95,59,49,58,58,45,53,34,43,11,13,0,12,0,12,0,12,0,12,0,12,0,12
14000US08031004601,"Census Tract 46.01, Denver, CO",6846,1046,3352,618,3494,583,6436,1045,3143,612,3293,571,219,140,141,107,78,74,174,164,60,72,114,129,17,27,8,14,9,14,0,17,0,17,0,17
14000US08031004602,"Census Tract 46.02, Denver, CO",7015,882,3732,670,3283,465,6608,877,3540,666,3068,458,229,129,102,78,127,83,123,141,54,72,69,75,55,67,36,57,19,31,0,17,0,17,0,17
14000US08031004603,"Census Tract 46.03, Denver, CO",5931,727,3031,387,2900,468,5452,745,2744,403,2708,458,250,136,142,98,108,81,185,117,141,106,44,33,38,29,4,7,34,27,6,9,0,17,6,9
14000US08031004700,"Census Tract 47, Denver, CO",7269,973,3414,513,3855,736,5907,1089,2574,490,3333,783,597,305,314,181,283,143,161,138,74,79,87,123,405,448,280,305,125,151,199,265,172,265,27,42
14000US08031004801,"Census Tract 48.01, Denver, CO",3771,564,1910,440,1861,305,3581,561,1799,439,1782,294,107,81,44,42,63,57,77,84,61,65,16,28,6,9,6,9,0,12,0,12,0,12,0,12
